permno,month,usdret,realizedvol,log_vol,debt_at,lnmcap,beta,Treated,Post,DiD
10952,2006-01,0.0512,0.0082909051088336,-4.79259613499453,0.450677,12.951926382602132,-0.813016186631121,0,0,0
10952,2006-02,0.0436,0.0070539739001236,-4.954164147185953,0.450677,12.979928212150629,-0.8221413340774482,0,0,0
10952,2006-03,0.0414,0.0112142026743123,-4.490574208114897,0.450677,13.070590641787408,-0.8216971235124013,0,0,0
10952,2006-04,-0.0688,0.0138996071939533,-4.275894698672617,0.5297745,12.998193740759447,-0.7100698887402437,0,0,0
10952,2006-05,0.001,0.0127592085686652,-4.361502027388365,0.5297745,13.002123105213538,-0.7721337292060055,0,0,0
10952,2006-06,0.0124,0.0107711216428878,-4.530886648121635,0.5297745,13.014426746408894,-0.7634504128253409,0,0,0
10952,2006-07,0.0299,0.0123337173227445,-4.395418521214102,0.53807414,13.04388001332239,-0.7710936473950547,0,0,0
10952,2006-08,0.0294,0.0121859971278512,-4.407467762848362,0.53807414,13.17954818867364,-0.7616112041273924,0,0,0
10952,2006-09,0.0514,0.0095119313966584,-4.655208331913777,0.53807414,13.229637898185157,-0.1063036414030784,0,0,0
10952,2006-10,0.0334,0.006322414213838,-5.063654147904772,0.50126535,13.262487567203443,0.093371456345949,0,0,0
10952,2006-11,0.105,0.0094107518269062,-4.665902431987017,0.50126535,13.382143629261927,0.1322762504703816,0,0,0
10952,2006-12,-0.1277,0.013196816078928,-4.32777968462651,0.50126535,13.43692596966998,0.0856291234255159,0,0,0
10952,2007-01,0.0528,0.0087155984864102,-4.742640929228608,0.5446074,13.48837638559136,0.0862537871621674,0,0,0
10952,2007-02,-0.029,0.0130835182465421,-4.336401990028042,0.5446074,13.445063729758653,0.1034868430363293,0,0,0
10952,2007-03,0.01,0.0099121566051457,-4.613993335229492,0.5446074,13.479838361225791,0.1160752257034305,0,0,0
10952,2007-04,-0.0142,0.0108986583655246,-4.519115583054397,0.4538343,13.453524391564049,0.1240995340797157,0,0,0
10952,2007-05,0.0128,0.0133781992870678,-4.314128815770488,0.4538343,13.46566736722302,0.3132247921350017,0,0,0
10952,2007-06,-0.1003,0.0154619517296645,-4.169372999957535,0.4538343,13.359958480197797,0.0804366808580299,0,0,0
10952,2007-07,-0.124,0.0166684306529839,-4.094238728643638,0.4618612,13.2284942022978,0.2495269846924749,0,0,0
10952,2007-08,0.0712,0.0180566865827544,-4.014239215004064,0.4618612,13.280423730204507,0.1995692674775857,0,0,0
10952,2007-09,0.0287,0.0207266682976135,-3.87633408433131,0.4618612,13.30872048041701,0.2143097138893742,0,0,0
10952,2007-10,-0.0565,0.0178593643242751,-4.025227296313051,0.50788885,13.250524991036873,0.2838920547524406,0,0,0
10952,2007-11,-0.072,0.0266168356987506,-3.626211342398848,0.50788885,13.156770021499357,0.2745721681394361,0,0,0
10952,2007-12,-0.1256,0.0190753700370399,-3.9593573029413274,0.50788885,13.02250575965918,0.3954957136589717,0,0,0
10952,2008-01,0.086,0.0268592357683889,-3.6171455406972997,0.548326,13.105026783347183,0.3547777671991807,0,0,0
10952,2008-02,0.0662,0.0235960693180698,-3.7466751351413596,0.548326,13.149908931119407,0.3403731493165279,0,0,0
10952,2008-03,0.0052,0.0199010105733219,-3.9169847659620918,0.548326,13.160290639025106,0.3309827811829854,0,0,0
10952,2008-04,0.0702,0.0149604149915239,-4.202347566745428,0.5338699,13.228096323701257,0.3327953948534669,0,0,0
10952,2008-05,-0.006,0.0194496051928347,-3.9399285076926103,0.5338699,13.20380363113221,0.3656510944597373,0,0,0
10952,2008-06,-0.0393,0.0183680873836481,-3.9971405014712746,0.5338699,13.163664463541863,0.382511193707107,0,0,0
10952,2008-07,0.0887,0.0302810673404173,-3.497232602011093,0.55460966,13.249290046784044,0.2880734026691676,0,0,0
10952,2008-08,0.0443,0.0230717386208858,-3.7691468467888725,0.55460966,13.275586999074504,0.0926712199487826,0,0,0
10952,2008-09,0.0092,0.0336682424951806,-3.391200245116848,0.55460966,13.28470560329094,0.0873624337362829,0,1,0
10952,2008-10,-0.2769,0.0618786641056032,-2.782579841978257,0.564872,12.960584973649672,0.7982021291617692,0,1,0
10952,2008-11,-0.4848,0.0687682244752584,-2.6770134942873343,0.564872,12.250559755302374,1.1357867993045376,0,1,0
10952,2008-12,0.5064,0.0829122086565243,-2.4899729580033716,0.564872,12.66027115429199,1.278259494266066,0,1,0
10952,2009-01,-0.1342,0.0559038623045708,-2.884121808102879,0.57393265,12.516191996534484,1.3063755666949284,0,1,0
10952,2009-02,-0.2084,0.0540976451140794,-2.9169646224674883,0.57393265,12.259034382293349,1.3521989890877906,0,1,0
10952,2009-03,-0.6329,0.0970170275964337,-2.3328687736532134,0.57393265,11.265075457219822,0.8097101271974252,0,1,0
10952,2009-04,1.0632,0.1053574949106499,-2.2503959983042456,0.5867967,11.99394680076552,1.6732419046833356,0,1,0
10952,2009-05,0.4373,0.083541509557005,-2.4824116502055853,0.5867967,12.356731177758803,1.799505313862916,0,1,0
10952,2009-06,-0.124,0.0435025878857271,-3.134934851031145,0.5867967,12.224306592109471,1.7818178873741806,0,1,0
12072,2006-01,0.0543,0.0086871380672808,-4.745911730279279,0.521043,13.302729690621428,0.3757394319775569,1,0,0
12072,2006-02,0.0406,0.0085380653697023,-4.763220834350741,0.521043,13.34376890723383,0.3791533837658991,1,0,0
12072,2006-03,0.0066,0.0143497647206339,-4.24402173268556,0.521043,13.336619165300592,0.3906005775243208,1,0,0
12072,2006-04,-0.0934,0.0105974451138715,-4.547142333909044,0.542253,13.238346393997992,0.4097975004860509,1,0,0
